history_id,opportunity_id,stage,entered_at,exited_at
H001562,O00397,Qualification,2024-11-01,2024-11-14
H001563,O00397,Proposal,2024-11-14,2024-11-24
H001564,O00397,Negotiation,2024-11-24,2024-12-05
H001565,O00397,Closed Won,2024-12-05,
H001566,O00398,Prospecting,2026-03-03,2026-03-11
H001567,O00398,Qualification,2026-03-11,2026-03-21
H001568,O00398,Proposal,2026-03-21,2026-03-21
H001569,O00398,Negotiation,2026-03-21,2026-03-28
H001570,O00398,Closed Won,2026-03-28,
H001571,O00399,Prospecting,2026-05-23,2026-05-27
H001572,O00399,Qualification,2026-05-27,2026-05-28
H001573,O00399,Proposal,2026-05-28,
H001574,O00400,Prospecting,2025-06-13,2025-07-07
H001575,O00400,Qualification,2025-07-07,2025-07-28
H001576,O00400,Proposal,2025-07-28,2025-07-30
H001577,O00400,Negotiation,2025-07-30,2025-10-09
H001578,O00400,Closed Won,2025-10-09,
H001579,O00401,Prospecting,2025-03-14,2025-04-21
H001580,O00401,Qualification,2025-04-21,2025-05-02
H001581,O00401,Proposal,2025-05-02,2025-05-15
H001582,O00401,Negotiation,2025-05-15,2025-05-28
H001583,O00401,Closed Won,2025-05-28,
H001584,O00402,Prospecting,2025-07-08,2025-08-18
H001585,O00402,Qualification,2025-08-18,2025-09-04
H001586,O00402,Proposal,2025-09-04,2025-09-23
H001587,O00402,Negotiation,2025-09-23,2025-10-12
H001588,O00402,Closed Won,2025-10-12,
H001589,O00403,Prospecting,2026-03-30,2026-05-09
H001590,O00403,Qualification,2026-05-09,
H001591,O00404,Prospecting,2026-05-02,2026-05-10
H001592,O00404,Qualification,2026-05-10,2026-05-21
H001593,O00404,Proposal,2026-05-21,
H001594,O00405,Prospecting,2024-06-16,2024-06-18
H001595,O00405,Qualification,2024-06-18,2024-06-28
H001596,O00405,Proposal,2024-06-28,2024-07-05
H001597,O00405,Negotiation,2024-07-05,2024-07-15
H001598,O00405,Closed Won,2024-07-15,
H001599,O00406,Prospecting,2025-09-28,2026-01-24
H001600,O00406,Closed Lost,2026-01-24,
H001601,O00407,Prospecting,2025-07-01,2025-07-14
H001602,O00407,Qualification,2025-07-14,2025-07-22
H001603,O00407,Proposal,2025-07-22,2025-07-23
H001604,O00407,Negotiation,2025-07-23,2025-07-31
H001605,O00407,Closed Won,2025-07-31,
H001606,O00408,Prospecting,2026-03-25,2026-05-29
H001607,O00408,Qualification,2026-05-29,
H001608,O00409,Prospecting,2025-06-09,2025-06-29
H001609,O00409,Closed Lost,2025-06-29,
H001610,O00410,Prospecting,2026-01-07,2026-02-17
H001611,O00410,Qualification,2026-02-17,2026-03-25
H001612,O00410,Proposal,2026-03-25,2026-04-29
H001613,O00410,Negotiation,2026-04-29,2026-05-02
H001614,O00410,Closed Lost,2026-05-02,
H001615,O00411,Prospecting,2024-05-15,2024-05-15
H001616,O00411,Qualification,2024-05-15,2024-06-15
H001617,O00411,Proposal,2024-06-15,2024-06-19
H001618,O00411,Negotiation,2024-06-19,2024-06-21
H001619,O00411,Closed Won,2024-06-21,
H001620,O00412,Prospecting,2025-11-03,2025-11-17
H001621,O00412,Qualification,2025-11-17,2025-12-15
H001622,O00412,Proposal,2025-12-15,2026-01-18
H001623,O00412,Negotiation,2026-01-18,2026-02-11
H001624,O00412,Closed Won,2026-02-11,
H001625,O00413,Prospecting,2025-08-26,2025-11-16
H001626,O00413,Closed Lost,2025-11-16,
H001627,O00414,Prospecting,2024-05-09,2024-06-22
H001628,O00414,Qualification,2024-06-22,2024-06-30
H001629,O00414,Proposal,2024-06-30,2024-07-08
H001630,O00414,Negotiation,2024-07-08,2024-07-10
H001631,O00414,Closed Won,2024-07-10,
H001632,O00415,Prospecting,2026-03-06,2026-04-25
H001633,O00415,Qualification,2026-04-25,2026-04-27
H001634,O00415,Proposal,2026-04-27,2026-05-03
H001635,O00415,Negotiation,2026-05-03,
H001636,O00416,Prospecting,2025-07-07,2025-07-08
H001637,O00416,Qualification,2025-07-08,2025-07-16
H001638,O00416,Proposal,2025-07-16,2025-07-26
H001639,O00416,Negotiation,2025-07-26,2025-07-29
H001640,O00416,Closed Won,2025-07-29,
H001641,O00417,Prospecting,2025-07-21,2025-10-06
H001642,O00417,Closed Lost,2025-10-06,
H001643,O00418,Prospecting,2025-04-13,2025-05-20
H001644,O00418,Qualification,2025-05-20,2025-05-22
H001645,O00418,Proposal,2025-05-22,2025-06-20
H001646,O00418,Negotiation,2025-06-20,2025-07-17
H001647,O00418,Closed Lost,2025-07-17,
H001648,O00419,Prospecting,2026-03-22,2026-03-28
H001649,O00419,Qualification,2026-03-28,
H001650,O00420,Prospecting,2025-06-30,2025-07-11
H001651,O00420,Qualification,2025-07-11,2025-07-17
H001652,O00420,Proposal,2025-07-17,2025-07-31
H001653,O00420,Negotiation,2025-07-31,2025-08-01
H001654,O00420,Closed Lost,2025-08-01,
H001655,O00421,Prospecting,2026-05-05,
H001656,O00422,Prospecting,2025-04-14,2025-05-13
H001657,O00422,Qualification,2025-05-13,2025-05-24
H001658,O00422,Proposal,2025-05-24,2025-05-31
H001659,O00422,Negotiation,2025-05-31,2025-06-06
H001660,O00422,Closed Won,2025-06-06,
H001661,O00423,Prospecting,2024-06-21,2024-09-12
H001662,O00423,Qualification,2024-09-12,2024-09-14
H001663,O00423,Proposal,2024-09-14,2024-10-06
H001664,O00423,Negotiation,2024-10-06,2024-10-09
H001665,O00423,Closed Lost,2024-10-09,
H001666,O00424,Prospecting,2024-10-19,2024-10-25
H001667,O00424,Qualification,2024-10-25,2024-10-30
H001668,O00424,Proposal,2024-10-30,2024-11-12
H001669,O00424,Negotiation,2024-11-12,2024-11-21
H001670,O00424,Closed Won,2024-11-21,
H001671,O00425,Prospecting,2024-10-05,2024-10-08
H001672,O00425,Qualification,2024-10-08,2024-10-11
H001673,O00425,Proposal,2024-10-11,2024-11-06
H001674,O00425,Closed Lost,2024-11-06,
H001675,O00426,Prospecting,2025-04-15,2025-04-21
H001676,O00426,Qualification,2025-04-21,2025-05-14
H001677,O00426,Proposal,2025-05-14,2025-06-14
H001678,O00426,Negotiation,2025-06-14,2025-07-04
H001679,O00426,Closed Won,2025-07-04,
H001680,O00427,Prospecting,2026-05-08,2026-05-17
H001681,O00427,Qualification,2026-05-17,2026-05-28
H001682,O00427,Proposal,2026-05-28,2026-05-29
H001683,O00427,Negotiation,2026-05-29,
H001684,O00428,Prospecting,2025-07-28,2025-07-29
H001685,O00428,Qualification,2025-07-29,2025-08-08
H001686,O00428,Proposal,2025-08-08,2025-08-13
H001687,O00428,Negotiation,2025-08-13,2025-08-20
H001688,O00428,Closed Won,2025-08-20,
H001689,O00429,Prospecting,2025-06-07,2025-06-08
H001690,O00429,Qualification,2025-06-08,2025-06-24
H001691,O00429,Proposal,2025-06-24,2025-07-01
H001692,O00429,Negotiation,2025-07-01,2025-07-04
H001693,O00429,Closed Won,2025-07-04,
H001694,O00430,Prospecting,2026-04-08,2026-05-15
H001695,O00430,Qualification,2026-05-15,2026-05-16
H001696,O00430,Proposal,2026-05-16,2026-05-24
H001697,O00430,Negotiation,2026-05-24,
H001698,O00431,Prospecting,2026-01-16,2026-02-02
H001699,O00431,Qualification,2026-02-02,2026-02-23
H001700,O00431,Proposal,2026-02-23,2026-03-04
H001701,O00431,Negotiation,2026-03-04,2026-04-13
H001702,O00431,Closed Won,2026-04-13,
H001703,O00432,Prospecting,2025-06-19,2025-06-29
H001704,O00432,Qualification,2025-06-29,2025-08-04
H001705,O00432,Proposal,2025-08-04,2025-08-22
H001706,O00432,Negotiation,2025-08-22,2025-10-17
H001707,O00432,Closed Won,2025-10-17,
H001708,O00433,Prospecting,2026-04-07,2026-04-23
H001709,O00433,Qualification,2026-04-23,
H001710,O00434,Prospecting,2025-12-28,2026-03-02
H001711,O00434,Qualification,2026-03-02,2026-03-06
H001712,O00434,Proposal,2026-03-06,2026-03-25
H001713,O00434,Negotiation,2026-03-25,2026-03-27
H001714,O00434,Closed Won,2026-03-27,
H001715,O00435,Prospecting,2025-04-28,2025-05-08
H001716,O00435,Qualification,2025-05-08,2025-05-23
H001717,O00435,Proposal,2025-05-23,2025-06-21
H001718,O00435,Negotiation,2025-06-21,2025-07-21
H001719,O00435,Closed Won,2025-07-21,
H001720,O00436,Prospecting,2025-12-17,2026-03-03
H001721,O00436,Qualification,2026-03-03,2026-03-24
H001722,O00436,Proposal,2026-03-24,2026-04-03
H001723,O00436,Negotiation,2026-04-03,2026-04-11
H001724,O00436,Closed Won,2026-04-11,
H001725,O00437,Prospecting,2026-05-14,2026-05-18
H001726,O00437,Qualification,2026-05-18,
H001727,O00438,Prospecting,2026-04-29,
H001728,O00439,Prospecting,2025-08-31,2025-09-24
H001729,O00439,Qualification,2025-09-24,2025-10-06
H001730,O00439,Closed Lost,2025-10-06,
H001731,O00440,Prospecting,2025-12-20,2026-01-25
H001732,O00440,Qualification,2026-01-25,2026-02-08
H001733,O00440,Proposal,2026-02-08,2026-02-10
H001734,O00440,Negotiation,2026-02-10,2026-02-11
H001735,O00440,Closed Won,2026-02-11,
H001736,O00441,Prospecting,2025-09-09,2025-09-13
H001737,O00441,Qualification,2025-09-13,2025-10-04
H001738,O00441,Proposal,2025-10-04,2025-10-10
H001739,O00441,Negotiation,2025-10-10,2025-10-15
H001740,O00441,Closed Won,2025-10-15,
H001741,O00442,Prospecting,2025-05-14,2025-05-24
H001742,O00442,Qualification,2025-05-24,2025-06-20
H001743,O00442,Proposal,2025-06-20,2025-07-05
H001744,O00442,Negotiation,2025-07-05,2025-08-13
H001745,O00442,Closed Won,2025-08-13,
H001746,O00443,Prospecting,2025-03-07,2025-03-16
H001747,O00443,Qualification,2025-03-16,2025-04-15
H001748,O00443,Proposal,2025-04-15,2025-04-29
H001749,O00443,Negotiation,2025-04-29,2025-05-13
H001750,O00443,Closed Won,2025-05-13,
H001751,O00444,Prospecting,2025-09-13,2025-09-27
H001752,O00444,Qualification,2025-09-27,2025-09-30
H001753,O00444,Proposal,2025-09-30,2025-10-20
H001754,O00444,Negotiation,2025-10-20,2025-10-26
H001755,O00444,Closed Won,2025-10-26,
H001756,O00445,Prospecting,2025-08-30,2025-09-08
H001757,O00445,Qualification,2025-09-08,2025-10-12
H001758,O00445,Proposal,2025-10-12,2025-10-20
H001759,O00445,Negotiation,2025-10-20,2025-11-06
H001760,O00445,Closed Won,2025-11-06,
H001761,O00446,Prospecting,2026-01-29,2026-02-02
H001762,O00446,Qualification,2026-02-02,2026-03-03
H001763,O00446,Proposal,2026-03-03,2026-04-28
H001764,O00446,Negotiation,2026-04-28,2026-05-08
H001765,O00446,Closed Won,2026-05-08,
H001766,O00447,Prospecting,2024-05-26,2024-05-29
H001767,O00447,Qualification,2024-05-29,2024-06-21
H001768,O00447,Proposal,2024-06-21,2024-07-06
H001769,O00447,Closed Lost,2024-07-06,
H001770,O00448,Prospecting,2025-10-17,2025-10-18
H001771,O00448,Qualification,2025-10-18,2025-12-02
H001772,O00448,Proposal,2025-12-02,2025-12-16
H001773,O00448,Negotiation,2025-12-16,2026-01-17
H001774,O00448,Closed Won,2026-01-17,
H001775,O00449,Prospecting,2025-12-15,2026-01-19
H001776,O00449,Qualification,2026-01-19,2026-02-11
H001777,O00449,Proposal,2026-02-11,2026-02-17
H001778,O00449,Negotiation,2026-02-17,2026-04-04
H001779,O00449,Closed Won,2026-04-04,
H001780,O00450,Prospecting,2025-10-23,2025-10-25
H001781,O00450,Qualification,2025-10-25,2025-11-04
H001782,O00450,Proposal,2025-11-04,2025-11-14
H001783,O00450,Negotiation,2025-11-14,2025-11-15
H001784,O00450,Closed Won,2025-11-15,
H001785,O00451,Prospecting,2025-06-22,2025-07-02
H001786,O00451,Qualification,2025-07-02,2025-08-03
H001787,O00451,Proposal,2025-08-03,2025-08-17
H001788,O00451,Negotiation,2025-08-17,2025-08-20
H001789,O00451,Closed Won,2025-08-20,
H001790,O00452,Prospecting,2025-01-20,2025-02-03
H001791,O00452,Qualification,2025-02-03,2025-02-03
H001792,O00452,Proposal,2025-02-03,2025-02-25
H001793,O00452,Negotiation,2025-02-25,2025-03-22
H001794,O00452,Closed Lost,2025-03-22,
H001795,O00453,Prospecting,2025-03-22,2025-03-22
H001796,O00453,Qualification,2025-03-22,2025-03-23
H001797,O00453,Proposal,2025-03-23,2025-04-08
H001798,O00453,Negotiation,2025-04-08,2025-04-18
H001799,O00453,Closed Won,2025-04-18,
H001800,O00454,Prospecting,2026-03-14,2026-03-23
H001801,O00454,Qualification,2026-03-23,
H001802,O00455,Prospecting,2024-09-23,2024-10-17
H001803,O00455,Qualification,2024-10-17,2024-10-28
H001804,O00455,Proposal,2024-10-28,2024-11-08
H001805,O00455,Closed Lost,2024-11-08,
H001806,O00456,Prospecting,2026-01-26,2026-01-30
H001807,O00456,Qualification,2026-01-30,2026-02-08
H001808,O00456,Proposal,2026-02-08,2026-04-08
H001809,O00456,Negotiation,2026-04-08,2026-04-15
H001810,O00456,Closed Won,2026-04-15,
H001811,O00457,Prospecting,2026-02-07,2026-02-09
H001812,O00457,Qualification,2026-02-09,2026-03-11
H001813,O00457,Proposal,2026-03-11,2026-03-26
H001814,O00457,Negotiation,2026-03-26,2026-04-12
H001815,O00457,Closed Won,2026-04-12,
H001816,O00458,Prospecting,2025-11-21,2025-12-09
H001817,O00458,Qualification,2025-12-09,2025-12-20
H001818,O00458,Proposal,2025-12-20,2025-12-28
H001819,O00458,Closed Lost,2025-12-28,
H001820,O00459,Prospecting,2026-04-28,2026-05-04
H001821,O00459,Qualification,2026-05-04,2026-05-08
H001822,O00459,Proposal,2026-05-08,
H001823,O00460,Prospecting,2024-05-03,2024-06-14
H001824,O00460,Qualification,2024-06-14,2024-07-10
H001825,O00460,Proposal,2024-07-10,2024-08-02
H001826,O00460,Negotiation,2024-08-02,2024-08-13
H001827,O00460,Closed Lost,2024-08-13,
H001828,O00461,Prospecting,2024-07-19,2024-09-26
H001829,O00461,Qualification,2024-09-26,2024-09-26
H001830,O00461,Proposal,2024-09-26,2024-10-12
H001831,O00461,Negotiation,2024-10-12,2024-10-30
H001832,O00461,Closed Won,2024-10-30,
H001833,O00462,Prospecting,2024-10-29,2025-01-06
H001834,O00462,Closed Lost,2025-01-06,
H001835,O00463,Prospecting,2025-02-12,2025-03-19
H001836,O00463,Qualification,2025-03-19,2025-04-24
H001837,O00463,Proposal,2025-04-24,2025-06-09
H001838,O00463,Closed Lost,2025-06-09,
H001839,O00464,Prospecting,2026-03-06,2026-03-23
H001840,O00464,Qualification,2026-03-23,2026-05-05
H001841,O00464,Proposal,2026-05-05,
H001842,O00465,Prospecting,2025-12-04,2026-01-03
H001843,O00465,Qualification,2026-01-03,2026-01-04
H001844,O00465,Proposal,2026-01-04,2026-01-09
H001845,O00465,Negotiation,2026-01-09,2026-01-28
H001846,O00465,Closed Won,2026-01-28,
H001847,O00466,Prospecting,2024-07-06,2024-10-12
H001848,O00466,Qualification,2024-10-12,2024-10-29
H001849,O00466,Closed Lost,2024-10-29,
H001850,O00467,Prospecting,2024-05-24,2024-05-24
H001851,O00467,Qualification,2024-05-24,2024-08-04
H001852,O00467,Proposal,2024-08-04,2024-08-25
H001853,O00467,Negotiation,2024-08-25,2024-09-07
H001854,O00467,Closed Won,2024-09-07,
H001855,O00468,Prospecting,2025-07-17,2025-08-08
H001856,O00468,Qualification,2025-08-08,2025-08-14
H001857,O00468,Proposal,2025-08-14,2025-08-27
H001858,O00468,Negotiation,2025-08-27,2025-09-16
H001859,O00468,Closed Won,2025-09-16,
H001860,O00469,Prospecting,2025-10-28,2025-11-21
H001861,O00469,Qualification,2025-11-21,2025-11-25
H001862,O00469,Proposal,2025-11-25,2025-12-31
H001863,O00469,Negotiation,2025-12-31,2026-01-09
H001864,O00469,Closed Won,2026-01-09,
H001865,O00470,Prospecting,2025-01-11,2025-01-12
H001866,O00470,Qualification,2025-01-12,2025-02-09
H001867,O00470,Closed Lost,2025-02-09,
H001868,O00471,Prospecting,2026-05-16,2026-05-23
H001869,O00471,Qualification,2026-05-23,2026-05-30
H001870,O00471,Proposal,2026-05-30,
H001871,O00472,Prospecting,2026-03-11,2026-03-15
H001872,O00472,Qualification,2026-03-15,2026-03-17
H001873,O00472,Proposal,2026-03-17,2026-04-26
H001874,O00472,Negotiation,2026-04-26,
H001875,O00473,Prospecting,2024-09-08,2025-01-06
H001876,O00473,Closed Lost,2025-01-06,
H001877,O00474,Prospecting,2024-06-23,2024-07-30
H001878,O00474,Qualification,2024-07-30,2024-08-18
H001879,O00474,Proposal,2024-08-18,2024-09-22
H001880,O00474,Closed Lost,2024-09-22,
H001881,O00475,Prospecting,2025-08-19,2025-09-11
H001882,O00475,Qualification,2025-09-11,2025-09-30
H001883,O00475,Proposal,2025-09-30,2025-10-22
H001884,O00475,Negotiation,2025-10-22,2025-10-27
H001885,O00475,Closed Won,2025-10-27,
H001886,O00476,Prospecting,2024-08-14,2024-09-16
H001887,O00476,Closed Lost,2024-09-16,
H001888,O00477,Prospecting,2025-01-18,2025-02-07
H001889,O00477,Qualification,2025-02-07,2025-02-24
H001890,O00477,Proposal,2025-02-24,2025-03-20
H001891,O00477,Negotiation,2025-03-20,2025-04-13
H001892,O00477,Closed Won,2025-04-13,
H001893,O00478,Prospecting,2026-02-27,2026-03-11
H001894,O00478,Qualification,2026-03-11,2026-04-13
H001895,O00478,Proposal,2026-04-13,2026-05-23
H001896,O00478,Closed Lost,2026-05-23,
H001897,O00479,Prospecting,2025-10-13,2025-10-16
H001898,O00479,Qualification,2025-10-16,2025-10-17
H001899,O00479,Proposal,2025-10-17,2025-10-30
H001900,O00479,Negotiation,2025-10-30,2025-11-03
H001901,O00479,Closed Won,2025-11-03,
H001902,O00480,Prospecting,2026-02-15,2026-03-02
H001903,O00480,Qualification,2026-03-02,2026-03-17
H001904,O00480,Proposal,2026-03-17,2026-03-18
H001905,O00480,Negotiation,2026-03-18,2026-04-01
H001906,O00480,Closed Won,2026-04-01,
H001907,O00481,Prospecting,2026-05-13,2026-05-14
H001908,O00481,Qualification,2026-05-14,2025-10-26
H001909,O00481,Proposal,2025-10-26,
H001910,O00482,Prospecting,2026-02-14,2026-02-18
H001911,O00482,Qualification,2026-02-18,2026-02-23
H001912,O00482,Proposal,2026-02-23,2026-02-23
H001913,O00482,Negotiation,2026-02-23,2026-03-06
H001914,O00482,Closed Won,2026-03-06,
H001915,O00483,Prospecting,2025-06-14,2025-06-17
H001916,O00483,Qualification,2025-06-17,2025-07-30
H001917,O00483,Closed Lost,2025-07-30,
H001918,O00484,Prospecting,2025-12-21,2026-01-09
H001919,O00484,Qualification,2026-01-09,2026-01-18
H001920,O00484,Proposal,2026-01-18,2026-03-31
H001921,O00484,Closed Lost,2026-03-31,
H001922,O00485,Prospecting,2025-01-07,2025-01-16
H001923,O00485,Qualification,2025-01-16,2025-01-22
H001924,O00485,Proposal,2025-01-22,2025-01-30
H001925,O00485,Negotiation,2025-01-30,2025-04-07
H001926,O00485,Closed Won,2025-04-07,
H001927,O00486,Prospecting,2026-03-16,2026-04-03
H001928,O00486,Qualification,2026-04-03,2025-12-02
H001929,O00486,Proposal,2025-12-02,
H001930,O00487,Prospecting,2026-04-26,
H001931,O00488,Prospecting,2025-05-19,2025-07-26
H001932,O00488,Qualification,2025-07-26,2025-08-26
H001933,O00488,Proposal,2025-08-26,2025-09-04
H001934,O00488,Closed Lost,2025-09-04,
H001935,O00489,Prospecting,2025-04-01,2025-04-11
H001936,O00489,Qualification,2025-04-11,2025-05-10
H001937,O00489,Closed Lost,2025-05-10,
H001938,O00490,Prospecting,2026-03-28,
H001939,O00491,Prospecting,2026-05-23,2026-05-24
H001940,O00491,Qualification,2026-05-24,2026-05-28
H001941,O00491,Proposal,2026-05-28,
H001942,O00492,Prospecting,2025-12-17,2025-12-18
H001943,O00492,Qualification,2025-12-18,2025-12-28
H001944,O00492,Proposal,2025-12-28,2026-01-17
H001945,O00492,Negotiation,2026-01-17,2026-02-09
H001946,O00492,Closed Lost,2026-02-09,
H001947,O00493,Prospecting,2025-05-22,2025-05-28
H001948,O00493,Qualification,2025-05-28,2025-06-09
H001949,O00493,Proposal,2025-06-09,2025-07-23
H001950,O00493,Negotiation,2025-07-23,2025-08-04
H001951,O00493,Closed Won,2025-08-04,
H001952,O00494,Prospecting,2024-06-12,2024-07-13
H001953,O00494,Qualification,2024-07-13,2024-07-22
H001954,O00494,Proposal,2024-07-22,2024-07-24
H001955,O00494,Negotiation,2024-07-24,2024-09-14
H001956,O00494,Closed Won,2024-09-14,
H001957,O00495,Prospecting,2025-07-27,2025-07-30
H001958,O00495,Qualification,2025-07-30,2025-08-08
H001959,O00495,Proposal,2025-08-08,2025-09-02
H001960,O00495,Negotiation,2025-09-02,2025-09-07
H001961,O00495,Closed Won,2025-09-07,
H001962,O00496,Prospecting,2026-03-31,
H001963,O00497,Prospecting,2025-03-06,2025-04-26
H001964,O00497,Qualification,2025-04-26,2025-04-26
H001965,O00497,Proposal,2025-04-26,2025-04-27
H001966,O00497,Closed Lost,2025-04-27,
H001967,O00498,Prospecting,2025-03-03,2025-04-19
H001968,O00498,Qualification,2025-04-19,2025-04-19
H001969,O00498,Proposal,2025-04-19,2025-06-03
H001970,O00498,Negotiation,2025-06-03,2025-06-29
H001971,O00498,Closed Won,2025-06-29,
H001972,O00499,Prospecting,2024-09-30,2024-11-24
H001973,O00499,Qualification,2024-11-24,2024-11-29
H001974,O00499,Proposal,2024-11-29,2024-12-26
H001975,O00499,Negotiation,2024-12-26,2025-01-25
H001976,O00499,Closed Lost,2025-01-25,
H001977,O00500,Prospecting,2026-04-14,
H001978,O00501,Prospecting,2024-05-31,2024-06-11
H001979,O00501,Qualification,2024-06-11,2024-08-24
H001980,O00501,Proposal,2024-08-24,2024-08-30
H001981,O00501,Closed Lost,2024-08-30,
H001982,O00502,Prospecting,2025-07-04,2025-07-23
H001983,O00502,Qualification,2025-07-23,2025-07-29
H001984,O00502,Proposal,2025-07-29,2025-08-10
H001985,O00502,Negotiation,2025-08-10,2025-08-21
H001986,O00502,Closed Won,2025-08-21,
H001987,O00503,Prospecting,2024-10-05,2024-10-26
H001988,O00503,Qualification,2024-10-26,2024-11-03
H001989,O00503,Proposal,2024-11-03,2024-11-07
H001990,O00503,Negotiation,2024-11-07,2024-11-11
H001991,O00503,Closed Won,2024-11-11,
H001992,O00504,Prospecting,2025-05-31,2025-06-28
H001993,O00504,Qualification,2025-06-28,2025-07-26
H001994,O00504,Proposal,2025-07-26,2025-08-23
H001995,O00504,Negotiation,2025-08-23,2025-08-27
H001996,O00504,Closed Won,2025-08-27,
H001997,O00505,Prospecting,2026-04-06,2026-04-07
H001998,O00505,Qualification,2026-04-07,2026-04-12
H001999,O00505,Proposal,2026-04-12,2026-04-29
H002000,O00505,Negotiation,2026-04-29,2026-04-30
H002001,O00505,Closed Lost,2026-04-30,
H002002,O00506,Prospecting,2025-10-13,2025-12-19
H002003,O00506,Closed Lost,2025-12-19,
H002004,O00507,Prospecting,2025-07-03,2025-07-21
H002005,O00507,Qualification,2025-07-21,2025-08-06
H002006,O00507,Proposal,2025-08-06,2025-09-20
H002007,O00507,Negotiation,2025-09-20,2025-09-29
H002008,O00507,Closed Won,2025-09-29,
H002009,O00508,Prospecting,2024-10-10,2024-11-15
H002010,O00508,Qualification,2024-11-15,2024-12-06
H002011,O00508,Proposal,2024-12-06,2024-12-29
H002012,O00508,Closed Lost,2024-12-29,
H002013,O00509,Prospecting,2026-05-18,2026-05-25
H002014,O00509,Qualification,2026-05-25,
H002015,O00510,Prospecting,2026-02-21,2026-03-09
H002016,O00510,Qualification,2026-03-09,2026-03-27
H002017,O00510,Proposal,2026-03-27,2026-04-01
H002018,O00510,Negotiation,2026-04-01,2026-04-18
H002019,O00510,Closed Lost,2026-04-18,
H002020,O00511,Prospecting,2025-07-17,2025-07-26
H002021,O00511,Qualification,2025-07-26,2025-09-20
H002022,O00511,Proposal,2025-09-20,2025-09-24
H002023,O00511,Negotiation,2025-09-24,2025-10-24
H002024,O00511,Closed Won,2025-10-24,
H002025,O00512,Prospecting,2026-04-06,2026-05-14
H002026,O00512,Qualification,2026-05-14,2026-05-15
H002027,O00512,Proposal,2026-05-15,
H002028,O00513,Prospecting,2026-03-17,2026-04-23
H002029,O00513,Qualification,2026-04-23,2026-05-14
H002030,O00513,Proposal,2026-05-14,
H002031,O00514,Prospecting,2024-05-28,2024-08-15
H002032,O00514,Closed Lost,2024-08-15,
H002033,O00515,Prospecting,2025-06-11,2025-06-16
H002034,O00515,Qualification,2025-06-16,2025-06-25
H002035,O00515,Proposal,2025-06-25,2025-07-21
H002036,O00515,Negotiation,2025-07-21,2025-07-25
H002037,O00515,Closed Won,2025-07-25,
H002038,O00516,Prospecting,2025-01-04,2025-01-21
H002039,O00516,Qualification,2025-01-21,2025-03-30
H002040,O00516,Proposal,2025-03-30,2025-04-01
H002041,O00516,Negotiation,2025-04-01,2025-04-18
H002042,O00516,Closed Won,2025-04-18,
H002043,O00517,Prospecting,2025-06-05,2025-06-22
H002044,O00517,Qualification,2025-06-22,2025-08-21
H002045,O00517,Proposal,2025-08-21,2025-08-31
H002046,O00517,Negotiation,2025-08-31,2025-09-27
H002047,O00517,Closed Won,2025-09-27,
H002048,O00518,Prospecting,2026-05-09,2026-05-27
H002049,O00518,Qualification,2026-05-27,
H002050,O00519,Prospecting,2025-06-04,2025-06-04
H002051,O00519,Qualification,2025-06-04,2025-06-29
H002052,O00519,Proposal,2025-06-29,2025-07-07
H002053,O00519,Closed Lost,2025-07-07,
H002054,O00520,Prospecting,2024-05-17,2024-05-17
H002055,O00520,Qualification,2024-05-17,2024-06-07
H002056,O00520,Proposal,2024-06-07,2024-06-11
H002057,O00520,Negotiation,2024-06-11,2024-06-17
H002058,O00520,Closed Won,2024-06-17,
H002059,O00521,Prospecting,2026-05-26,2026-05-28
H002060,O00521,Qualification,2026-05-28,
H002061,O00522,Prospecting,2025-11-06,2025-11-11
H002062,O00522,Qualification,2025-11-11,2025-11-15
H002063,O00522,Proposal,2025-11-15,2025-11-22
H002064,O00522,Negotiation,2025-11-22,2025-12-22
H002065,O00522,Closed Won,2025-12-22,
H002066,O00523,Prospecting,2025-08-13,2025-08-30
H002067,O00523,Qualification,2025-08-30,2025-09-12
H002068,O00523,Proposal,2025-09-12,2025-09-20
H002069,O00523,Negotiation,2025-09-20,2025-09-29
H002070,O00523,Closed Won,2025-09-29,
H002071,O00524,Prospecting,2026-05-04,
H002072,O00525,Prospecting,2026-05-17,2026-05-26
H002073,O00525,Qualification,2026-05-26,2026-05-30
H002074,O00525,Proposal,2026-05-30,
H002075,O00526,Prospecting,2026-04-11,2026-04-30
H002076,O00526,Qualification,2026-04-30,2026-05-10
H002077,O00526,Proposal,2026-05-10,2026-05-11
H002078,O00526,Negotiation,2026-05-11,
H002079,O00527,Prospecting,2024-12-25,2025-01-15
H002080,O00527,Closed Lost,2025-01-15,
H002081,O00528,Prospecting,2026-05-20,
H002082,O00529,Prospecting,2024-12-30,2025-01-02
H002083,O00529,Qualification,2025-01-02,2025-01-09
H002084,O00529,Proposal,2025-01-09,2025-01-20
H002085,O00529,Negotiation,2025-01-20,2025-01-23
H002086,O00529,Closed Won,2025-01-23,
H002087,O00530,Prospecting,2026-02-23,2026-03-20
H002088,O00530,Qualification,2026-03-20,2026-04-17
H002089,O00530,Proposal,2026-04-17,2026-05-07
H002090,O00530,Closed Lost,2026-05-07,
H002091,O00531,Prospecting,2026-04-04,2026-04-30
H002092,O00531,Qualification,2026-04-30,2026-05-25
H002093,O00531,Closed Lost,2026-05-25,
H002094,O00532,Prospecting,2026-03-10,2026-03-21
H002095,O00532,Qualification,2026-03-21,
